latitude,longitude,Condoms_Male
40.67867279,-73.97894287,1
40.76963425,-73.9185791,1
40.68015671,-73.9451828,1
40.76063538,-73.83065796,1
40.71230316,-73.96691895,1
40.74357224,-73.92221832,1
40.81824875,-73.91879272,1
40.74688721,-73.89642334,1
40.63557816,-73.91314697,1
40.81305695,-73.94163513,1
40.66481781,-73.9114151,1
40.73445129,-73.99206543,1
40.63597107,-73.89945221,1
40.83392334,-73.91611481,1
40.68000793,-73.94273376,1
40.81435013,-73.94065857,1
40.75065613,-73.87568665,1
40.73319244,-74.00558472,1
40.7536087,-73.86026764,1
40.64138031,-74.07595062,1
40.80338287,-73.94023132,1
40.66495895,-73.93148804,1
40.74472046,-73.99712372,1
40.7991066,-73.95181274,1
40.66962051,-73.93103027,1
40.74385452,-73.99951172,1
40.7994194,-73.96646118,1
40.68488693,-73.91394043,1
40.74991989,-74.00254822,1
40.67980194,-73.93897247,1
40.74907684,-73.87007141,1
40.8227272,-73.95314026,1
40.76346207,-73.99281311,1
40.75735474,-73.86815643,1
40.83054352,-73.90996552,1
40.72603226,-73.98952484,1
40.70562363,-73.91001892,1
40.73773956,-74.00180054,1
40.84347153,-73.91261292,1
40.69704437,-73.90666962,1
40.71921921,-73.8423233,1
40.65985107,-73.95054626,1
40.66566849,-73.931427,1
40.64580917,-74.01647949,1
40.66532135,-73.98949432,1
40.74897766,-73.87102509,1
40.74533463,-73.95323181,1
40.64061737,-74.07570648,1
40.6636467,-73.92142487,1
40.65118027,-73.94171143,1
40.75845718,-73.83127594,1
40.74866867,-73.87611389,1
40.84903336,-73.93755341,1
40.84671021,-73.90895844,1
40.6958847,-73.93328094,1
40.68828964,-73.95708466,1
40.74918747,-73.8691864,1
40.75093842,-73.8729248,1
40.80247879,-73.93669128,1
40.80247879,-73.93669128,1
40.66310501,-73.92572021,1
40.83038712,-73.9475708,1
40.66854477,-73.90657806,1
40.84063339,-73.91737366,1
40.68579102,-73.98188782,1
40.66403198,-73.88824463,1
40.7604332,-73.83183289,1
40.6524086,-73.92626953,1
40.66939163,-73.9067688,1
40.66873169,-73.91716766,1
40.72042847,-73.98510742,1
40.76050568,-73.96607208,1
40.72125626,-73.98092651,1
40.7494545,-73.88694,1
40.86365128,-73.86450958,1
40.68431091,-73.90905762,1
40.83500671,-73.91921997,1
40.8616333,-73.92459106,1
40.697155,-73.80568695,1
40.83739853,-73.94244385,1
40.74597168,-74.00013733,1
40.80224228,-73.93688965,1
40.85191345,-73.88529968,1
40.69658279,-73.93478394,1
40.73384094,-74.00628662,1
40.72149658,-73.9801712,1
40.64484787,-73.92269135,1
40.84127426,-73.91670227,1
40.64670181,-73.92985535,1
40.83853912,-73.94161224,1
40.74736786,-73.88648224,1
40.66996765,-73.90692139,1
40.7519989,-73.93000031,1
40.81209183,-73.95721436,1
