Facility PK,FacilityName,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zipcode,Latitude,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
179360286,Miti Miti,Free Safer Sex Products,Condoms and Lubricant,,Business,Restaurant,138 5 Avenue,,Brooklyn,11217,40.678671631242,-73.978941435929,212-307-1503,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located by the bar at this restaurant. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 11:30 PM,true,true,true,,,306,39,13100,3019165,3009430043,BK37
179360095,Fernandez Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,"25-84 31 Street,Ground",,Queens,11102,40.769633694007,-73.918581756651,(718) 204-0042,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,401,22,7100,4007838,4005980060,QN71
179360360,Planet Jamaica Games & Music,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1399 Fulton Street,,Brooklyn,11216,40.680156360704,-73.945183772999,(347) 692-7922,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,303,36,26900,3053472,3018540063,BK75
179360157,HealthNeed Medical Urgent Care,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,"38-21 Main Street,Suite 1A",,Queens,11354,40.760636378753,-73.830655465174,718-888-1808,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a small box(es) located across from the front desk at this location.Last Updated: 6/7/2022 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.co,19000101000000.000000000,19000101000000.000000000,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,true,true,true,,"""http://www.healthneeduc.com""",407,20,87100,4534816,4049787501,QN22
179360476,The Woods,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,48 South 5 Street,,Brooklyn,11249,40.71230323552,-73.966919035403,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located on the right side by the bar at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook co,19000101000000.000000000,19000101000000.000000000,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,2:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,true,false,false,,,301,33,54900,,3,BK73
179360205,Juan's Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,42-9 Queens Blvd.,,Queens,11104,40.743571969422,-73.922215339051,(347) 722-4034,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,402,26,18102,4001943,4001630004,QN31
179360020,D'Flaco Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Hospital,Other,621 Courtlandt Avenue,,Bronx,10451,40.818248871025,-73.918793016415,(917) 828-5144,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,201,17,6700,2001878,2024110047,BX34
179360488,Trono de Mexico Sports Bar (Formerly Lucho's Bar),Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,38-19 69 Street,,Queens,11377,40.746886470496,-73.896421476592,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser/fishbowl located in the back near the restroom at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,402,26,26300,4029697,4012820004,QN63
179360416,Sno White Cleaners (Cleaners Of Distinction),Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,8002 Flatlands Avenue,,Brooklyn,11236,40.635577796143,-73.913143333614,(718) 444-6883,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,318,46,95600,3224916,3080170036,BK50
179360246,Life Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,471 Lenox Avenue,,Manhattan,10037,40.813055969062,-73.941634685587,(347) 557-2425,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,110,9,22600,1058227,1019180032,MN03
